filename,width,depth,auxiliary,seed,accuracy,student_loss_teacher,student_acc_5hot
results_Hidden128_Depth5_Auxiliary10_seed2.pt,128,5,10,2,0.1484375,2.098790407180786,0.8359375
results_Hidden128_Depth5_Auxiliary50_seed0.pt,128,5,50,0,0.515625,1.6844061613082886,0.984375
results_Hidden128_Depth5_Auxiliary50_seed1.pt,128,5,50,1,0.53125,1.6677719354629517,0.9765625
results_Hidden128_Depth5_Auxiliary50_seed2.pt,128,5,50,2,0.765625,1.6578541994094849,0.9765625
results_Hidden128_Depth5_Auxiliary100_seed0.pt,128,5,100,0,0.515625,1.6175158023834229,0.953125
results_Hidden128_Depth5_Auxiliary100_seed1.pt,128,5,100,1,0.765625,1.3276331424713135,1.0
results_Hidden128_Depth5_Auxiliary100_seed2.pt,128,5,100,2,0.859375,1.3908637762069702,0.984375
results_Hidden128_Depth5_Auxiliary1000_seed0.pt,128,5,1000,0,0.8671875,1.0089330673217773,0.9921875
results_Hidden128_Depth5_Auxiliary1000_seed1.pt,128,5,1000,1,0.8671875,1.083813190460205,1.0
results_Hidden128_Depth5_Auxiliary1000_seed2.pt,128,5,1000,2,0.84375,1.0528393983840942,0.9921875
results_Hidden256_Depth1_Auxiliary3_seed0.pt,256,1,3,0,0.265625,2.0835258960723877,0.9140625
results_Hidden256_Depth1_Auxiliary3_seed1.pt,256,1,3,1,0.2734375,2.0835039615631104,0.734375
results_Hidden256_Depth1_Auxiliary3_seed2.pt,256,1,3,2,0.1015625,2.1403675079345703,0.7734375
results_Hidden256_Depth1_Auxiliary3_seed3.pt,256,1,3,3,0.15625,2.18992018699646,0.7421875
results_Hidden256_Depth1_Auxiliary3_seed4.pt,256,1,3,4,0.28125,2.1168055534362793,0.7734375
results_Hidden256_Depth1_Auxiliary10_seed0.pt,256,1,10,0,0.671875,1.5062499046325684,0.9765625
results_Hidden256_Depth1_Auxiliary10_seed1.pt,256,1,10,1,0.5625,1.675364375114441,0.984375
results_Hidden256_Depth1_Auxiliary10_seed2.pt,256,1,10,2,0.7265625,1.5605897903442383,0.9921875
results_Hidden256_Depth1_Auxiliary10_seed3.pt,256,1,10,3,0.6796875,1.5541636943817139,0.984375
results_Hidden256_Depth1_Auxiliary10_seed4.pt,256,1,10,4,0.53125,1.8754266500473022,0.890625
results_Hidden256_Depth1_Auxiliary50_seed0.pt,256,1,50,0,0.875,0.7648958563804626,1.0
results_Hidden256_Depth1_Auxiliary50_seed1.pt,256,1,50,1,0.796875,0.9377486705780029,0.9921875
results_Hidden256_Depth1_Auxiliary50_seed2.pt,256,1,50,2,0.8984375,0.7481938600540161,1.0
results_Hidden256_Depth1_Auxiliary50_seed3.pt,256,1,50,3,0.875,0.7948271036148071,1.0
results_Hidden256_Depth1_Auxiliary50_seed4.pt,256,1,50,4,0.8359375,0.8082006573677063,1.0
results_Hidden256_Depth1_Auxiliary100_seed0.pt,256,1,100,0,0.890625,0.6151495575904846,1.0
results_Hidden256_Depth2_Auxiliary3_seed0.pt,256,2,3,0,0.2109375,2.2336597442626953,0.671875
results_Hidden256_Depth2_Auxiliary3_seed1.pt,256,2,3,1,0.25,2.1248247623443604,0.7890625
results_Hidden256_Depth2_Auxiliary3_seed2.pt,256,2,3,2,0.2578125,2.1690237522125244,0.703125
results_Hidden256_Depth2_Auxiliary3_seed3.pt,256,2,3,3,0.1171875,2.238291025161743,0.65625
results_Hidden256_Depth2_Auxiliary3_seed4.pt,256,2,3,4,0.265625,2.1523098945617676,0.75
results_Hidden256_Depth2_Auxiliary10_seed0.pt,256,2,10,0,0.40625,2.0115256309509277,0.921875
results_Hidden256_Depth2_Auxiliary10_seed1.pt,256,2,10,1,0.4609375,1.9550724029541016,0.890625
results_Hidden256_Depth2_Auxiliary10_seed2.pt,256,2,10,2,0.4609375,1.9837768077850342,0.84375
results_Hidden256_Depth2_Auxiliary10_seed3.pt,256,2,10,3,0.3125,2.1559526920318604,0.703125
results_Hidden256_Depth2_Auxiliary10_seed4.pt,256,2,10,4,0.296875,2.0780458450317383,0.8046875
results_Hidden256_Depth2_Auxiliary50_seed0.pt,256,2,50,0,0.875,1.2237149477005005,0.9921875
results_Hidden256_Depth2_Auxiliary50_seed1.pt,256,2,50,1,0.8515625,1.346724033355713,0.9921875
results_Hidden256_Depth2_Auxiliary50_seed2.pt,256,2,50,2,0.7890625,1.3714864253997803,0.9921875
results_Hidden256_Depth2_Auxiliary50_seed3.pt,256,2,50,3,0.8828125,1.336607813835144,0.9921875
results_Hidden256_Depth2_Auxiliary50_seed4.pt,256,2,50,4,0.8046875,1.460147500038147,1.0
results_Hidden256_Depth2_Auxiliary100_seed0.pt,256,2,100,0,0.875,0.9882386326789856,1.0
results_Hidden256_Depth2_Auxiliary100_seed1.pt,256,2,100,1,0.8515625,0.9620817303657532,1.0
results_Hidden256_Depth2_Auxiliary100_seed2.pt,256,2,100,2,0.8515625,1.005380392074585,0.9921875
results_Hidden256_Depth2_Auxiliary100_seed3.pt,256,2,100,3,0.8671875,0.9609885215759277,1.0
results_Hidden256_Depth2_Auxiliary100_seed4.pt,256,2,100,4,0.8828125,1.0329428911209106,1.0
results_Hidden256_Depth2_Auxiliary1000_seed0.pt,256,2,1000,0,0.890625,0.6962382793426514,1.0
results_Hidden256_Depth2_Auxiliary1000_seed1.pt,256,2,1000,1,0.8671875,0.7662556171417236,1.0
results_Hidden256_Depth2_Auxiliary1000_seed2.pt,256,2,1000,2,0.8515625,0.7383752465248108,0.9921875
results_Hidden256_Depth2_Auxiliary1000_seed3.pt,256,2,1000,3,0.8984375,0.6514596939086914,1.0
results_Hidden256_Depth2_Auxiliary1000_seed4.pt,256,2,1000,4,0.875,0.7480573058128357,1.0
results_Hidden256_Depth3_Auxiliary3_seed0.pt,256,3,3,0,0.2421875,2.1544294357299805,0.8359375
results_Hidden256_Depth3_Auxiliary3_seed1.pt,256,3,3,1,0.1875,2.1995787620544434,0.7734375
results_Hidden256_Depth3_Auxiliary3_seed2.pt,256,3,3,2,0.171875,2.240705966949463,0.671875
results_Hidden256_Depth3_Auxiliary3_seed3.pt,256,3,3,3,0.328125,2.141876220703125,0.6640625
results_Hidden256_Depth3_Auxiliary3_seed4.pt,256,3,3,4,0.0859375,2.298213005065918,0.6640625
results_Hidden256_Depth3_Auxiliary10_seed0.pt,256,3,10,0,0.4609375,2.083325147628784,0.7890625
results_Hidden256_Depth3_Auxiliary10_seed1.pt,256,3,10,1,0.3984375,2.029384136199951,0.8671875
results_Hidden256_Depth3_Auxiliary10_seed2.pt,256,3,10,2,0.3828125,2.0284242630004883,0.90625
results_Hidden256_Depth3_Auxiliary10_seed3.pt,256,3,10,3,0.21875,2.1578128337860107,0.6640625
results_Hidden256_Depth3_Auxiliary10_seed4.pt,256,3,10,4,0.296875,2.004432201385498,0.90625
results_Hidden256_Depth3_Auxiliary50_seed0.pt,256,3,50,0,0.8671875,1.710818886756897,0.9765625
results_Hidden256_Depth3_Auxiliary50_seed1.pt,256,3,50,1,0.65625,1.715831995010376,0.9765625
results_Hidden256_Depth3_Auxiliary50_seed2.pt,256,3,50,2,0.8359375,1.5737539529800415,0.9921875
results_Hidden256_Depth3_Auxiliary50_seed3.pt,256,3,50,3,0.7734375,1.7536970376968384,0.96875
results_Hidden256_Depth3_Auxiliary50_seed4.pt,256,3,50,4,0.640625,1.620222568511963,0.9375
results_Hidden256_Depth3_Auxiliary100_seed0.pt,256,3,100,0,0.8671875,1.3397560119628906,1.0
results_Hidden256_Depth3_Auxiliary100_seed1.pt,256,3,100,1,0.8671875,1.2666760683059692,1.0
results_Hidden256_Depth3_Auxiliary100_seed2.pt,256,3,100,2,0.859375,1.2725971937179565,0.9921875
results_Hidden256_Depth3_Auxiliary100_seed3.pt,256,3,100,3,0.8671875,1.352447748184204,0.9921875
results_Hidden256_Depth3_Auxiliary100_seed4.pt,256,3,100,4,0.8125,1.3727116584777832,0.9921875
results_Hidden256_Depth3_Auxiliary1000_seed0.pt,256,3,1000,0,0.890625,0.9736555218696594,1.0
results_Hidden256_Depth3_Auxiliary1000_seed1.pt,256,3,1000,1,0.8671875,0.9855643510818481,1.0
results_Hidden256_Depth3_Auxiliary1000_seed2.pt,256,3,1000,2,0.890625,0.9344193935394287,0.984375
results_Hidden256_Depth3_Auxiliary1000_seed3.pt,256,3,1000,3,0.8359375,0.9195089340209961,1.0
results_Hidden256_Depth3_Auxiliary1000_seed4.pt,256,3,1000,4,0.84375,1.0220723152160645,1.0
results_Hidden256_Depth5_Auxiliary3_seed0.pt,256,5,3,0,0.125,2.260287284851074,0.5859375
results_Hidden256_Depth5_Auxiliary3_seed1.pt,256,5,3,1,0.140625,2.3021671772003174,0.65625
results_Hidden256_Depth5_Auxiliary3_seed2.pt,256,5,3,2,0.109375,2.247206926345825,0.5546875
results_Hidden256_Depth5_Auxiliary3_seed3.pt,256,5,3,3,0.1953125,2.246368885040283,0.515625
results_Hidden512_Depth1_Auxiliary3_seed0.pt,512,1,3,0,0.109375,2.314570665359497,0.5703125
results_Hidden512_Depth1_Auxiliary3_seed1.pt,512,1,3,1,0.2890625,2.1939682960510254,0.6171875
results_Hidden512_Depth1_Auxiliary3_seed2.pt,512,1,3,2,0.1484375,2.208500862121582,0.6796875
results_Hidden512_Depth1_Auxiliary3_seed3.pt,512,1,3,3,0.265625,2.2963929176330566,0.5625
results_Hidden512_Depth1_Auxiliary3_seed4.pt,512,1,3,4,0.1328125,2.2627296447753906,0.6640625
results_Hidden512_Depth1_Auxiliary10_seed0.pt,512,1,10,0,0.3359375,2.0998096466064453,0.7734375
results_Hidden512_Depth1_Auxiliary10_seed1.pt,512,1,10,1,0.40625,2.0073394775390625,0.8515625
results_Hidden512_Depth1_Auxiliary10_seed2.pt,512,1,10,2,0.4375,1.9563606977462769,0.875
results_Hidden512_Depth1_Auxiliary10_seed3.pt,512,1,10,3,0.390625,1.9240310192108154,0.953125
results_Hidden512_Depth1_Auxiliary10_seed4.pt,512,1,10,4,0.3828125,2.03395414352417,0.875
results_Hidden512_Depth1_Auxiliary50_seed0.pt,512,1,50,0,0.859375,1.1828556060791016,1.0
results_Hidden512_Depth1_Auxiliary50_seed1.pt,512,1,50,1,0.828125,1.2740352153778076,1.0
results_Hidden512_Depth1_Auxiliary50_seed2.pt,512,1,50,2,0.890625,1.141823410987854,1.0
results_Hidden512_Depth1_Auxiliary50_seed3.pt,512,1,50,3,0.890625,1.2190613746643066,0.9921875
